id_particella,pos_x_m,pos_y_m,pos_z_m,vel_x_ms,vel_y_ms,vel_z_ms,dimensione_m,destino
22,-51.4688,29.3644,53.856,-10.834,6.5164,11.5377,2.8664,sopravvivenza
23,78.0236,10.9474,-13.5275,22.0216,2.1568,-3.9146,0.1838,sopravvivenza
24,18.23,-51.6254,-58.4998,3.5929,-10.256,-11.7685,1.9518,sopravvivenza
25,31.5263,39.12,62.4848,3.8902,5.5733,8.9589,0.6461,sopravvivenza
26,-29.046,-25.6685,-70.0105,-3.1682,-2.7655,-7.2827,0.5057,fuga
27,22.4614,66.0916,-39.4031,27.0618,80.0249,-47.0432,3.6978,fuga
28,7.8895,-75.1534,-26.2749,2.8716,-25.141,-8.7501,0.192,sopravvivenza
29,24.5719,14.5127,-74.7937,4.4006,2.4751,-13.905,3.2103,impatto
30,7.4678,-78.9583,-10.0381,1.3466,-15.5738,-2.0776,0.0301,sopravvivenza
31,78.6988,9.7219,10.5803,19.8783,2.093,2.6469,0.135,sopravvivenza
32,10.9699,16.7976,77.552,2.2963,2.9696,13.6558,0.5849,impatto
33,-34.9243,11.3859,71.107,-6.3248,1.6477,12.1205,1.1854,sopravvivenza
34,58.676,31.6646,44.1363,8.0006,5.58,6.4234,0.3453,sopravvivenza
35,71.8091,17.6809,-30.8042,1.5719,1.0699,-0.5413,0.6879,impatto
36,47.3489,-60.9908,21.0701,16.2324,-20.3721,7.0349,0.6475,sopravvivenza
37,-47.3007,-34.6277,-54.3763,-6.5261,-5.5299,-8.1877,0.8427,sopravvivenza
38,-48.8028,-63.051,4.1516,-3.1856,-4.6271,-0.676,0.1002,impatto
39,-6.3722,-78.6167,12.9001,-1.4768,-13.3253,2.3744,1.5354,fuga
40,-72.9296,32.3933,-2.6269,-32.9138,13.6369,-1.8856,0.045,fuga
41,74.6934,-0.7484,28.9095,4.5895,0.1365,1.8668,0.0862,impatto
42,-67.9188,12.0627,40.3336,-14.2716,2.8114,7.9959,0.1311,sopravvivenza
43,32.296,22.2703,69.6141,5.1234,2.6616,10.6553,5.2523,sopravvivenza
44,-56.835,-32.6336,45.6473,-6.3812,-4.0582,5.9687,1.7148,sopravvivenza
45,37.0246,-27.6728,65.4015,6.0892,-4.1745,10.2961,0.7442,sopravvivenza
46,34.4169,65.2528,-30.5872,0.6127,1.7785,-0.7158,0.0361,sopravvivenza
47,6.1129,78.6186,13.297,1.3588,10.0056,2.0282,1.9844,fuga
48,-13.9828,33.3578,71.1763,-8.8241,20.6414,42.7579,0.8757,fuga
49,-69.8672,38.5715,-2.715,-33.9888,18.4417,-0.9991,0.1106,fuga
50,-65.3961,-0.4139,46.0238,-37.2607,0.1132,25.9226,1.839,fuga
51,29.4138,69.6772,-25.9942,10.2524,25.9087,-9.1863,0.2013,sopravvivenza
52,7.8967,-64.9717,-46.0109,10.6211,-82.8103,-57.4649,0.5299,fuga
53,-76.1422,-23.2726,-3.9359,-7.3802,-2.1445,-1.5272,1.3859,sopravvivenza
54,5.5027,-41.6563,-67.8936,2.3524,-19.3605,-32.9229,0.3782,fuga
55,-77.1865,5.3471,-20.1765,-14.3076,0.4522,-4.3314,0.3793,sopravvivenza
56,-52.3356,-23.4714,55.783,-7.2599,-4.2514,7.3441,0.2896,sopravvivenza
57,62.1348,-37.5452,-33.921,2.8915,-2.8711,-1.1449,0.1449,impatto
58,70.1553,-30.6836,-23.1113,14.8051,-5.7337,-3.9488,0.0639,sopravvivenza
59,-7.6204,-17.654,-77.6002,-0.1421,-0.0501,-1.767,0.3916,impatto
60,-76.8958,-7.1857,20.2428,-59.7297,-6.1345,16.9531,1.2772,fuga
61,-1.9492,47.9448,-63.9765,0.2423,5.442,-7.5736,0.9076,sopravvivenza
62,26.8942,-75.1425,-6.3849,2.2105,-4.9272,-0.4272,4.9229,impatto
63,49.6173,31.7854,-53.7537,22.322,14.5021,-24.3799,0.3004,fuga
64,8.5539,79.4666,-5.4507,0.0829,5.7129,-0.9876,0.5169,sopravvivenza
65,-46.8194,-57.2921,-30.6646,-2.5958,-2.3601,-0.4106,0.3805,impatto
66,77.8828,-5.4717,17.847,13.7814,-2.0132,4.1307,3.3581,sopravvivenza
67,41.601,-66.0452,-17.6919,22.4299,-34.6603,-8.5118,0.6509,fuga
68,30.3125,63.433,-38.1669,3.5622,6.9508,-3.9757,4.5579,sopravvivenza
69,-30.3169,-24.7677,-69.7342,-0.1022,0.0863,-2.0744,1.3835,sopravvivenza
70,-38.5351,5.4358,-69.8931,-3.9058,0.0595,-7.3812,0.6521,sopravvivenza
71,48.4197,-60.5858,19.3983,47.3552,-58.0886,18.8818,0.0545,fuga
72,66.8566,-38.0868,-21.9389,18.625,-11.1991,-7.0101,0.9578,sopravvivenza
73,56.852,-40.4056,-39.1402,9.1451,-6.02,-5.8137,0.7954,impatto
74,44.5652,-63.4511,-19.8175,17.5622,-24.8535,-7.4113,0.0361,fuga
75,21.364,59.2789,-49.2116,0.9281,4.5841,-3.3998,0.0448,sopravvivenza
76,-52.5985,-54.2802,26.0733,-9.0369,-9.9191,5.0111,6.1643,impatto
77,17.733,-38.1361,67.8523,2.6624,-5.9286,9.5551,2.8465,impatto
78,-70.8087,18.4594,32.1695,-6.1274,1.803,2.2549,0.4175,sopravvivenza
79,-74.2789,-20.9396,-20.8664,-11.0204,-3.5119,-2.6874,1.0209,sopravvivenza
80,5.0393,17.5825,77.915,1.6622,6.8363,30.085,0.3459,fuga
81,-55.4031,-50.2534,-28.7779,-13.0527,-11.8591,-7.2098,10.9819,impatto
82,42.6839,66.4124,-11.9696,7.2107,11.3707,-2.0335,0.3057,sopravvivenza
83,-26.2561,20.2839,-72.8405,-19.2273,15.8629,-53.6587,0.3244,fuga
84,-66.3216,-44.496,0.6327,-4.5731,-3.0285,0.4918,0.384,impatto
85,-54.2521,-33.1862,48.4985,-7.1616,-3.3162,5.2165,11.5711,sopravvivenza
86,17.4992,25.59,-73.8184,0.8021,0.9962,-3.9142,0.2251,impatto
87,-59.757,40.3863,-34.6666,-9.3989,7.189,-7.0034,0.3819,fuga
88,18.3431,66.9934,39.9212,0.5079,3.833,2.0937,0.4189,impatto
89,25.1723,-7.2039,-75.6015,2.6963,-1.1544,-6.1136,0.4759,fuga
90,20.7236,15.6612,-75.781,3.1892,2.2815,-7.9116,0.8539,sopravvivenza
91,-45.9965,40.9242,-51.0203,-2.612,2.9305,-3.4375,0.1008,sopravvivenza
92,59.9889,7.7169,-52.3336,26.3529,3.2158,-23.3742,4.7091,fuga
93,-2.6344,-78.5848,14.7152,0.3164,-7.3062,0.7809,1.3506,sopravvivenza
94,-8.1398,56.387,-56.3101,-3.526,19.9516,-19.8365,0.3403,sopravvivenza
95,-30.3247,56.4266,-48.1355,-11.8927,21.26,-18.0868,0.5657,fuga
96,-12.9207,-78.9385,-1.934,-1.674,-13.2815,-0.1754,1.2541,sopravvivenza
97,-30.4713,73.5712,-7.7426,-53.3775,130.4181,-13.5397,0.1366,fuga
98,-25.6868,-44.691,-61.1584,-6.5014,-8.7994,-12.0795,0.6111,sopravvivenza
99,27.6693,5.6613,74.865,1.6253,-0.0142,4.4548,0.0865,sopravvivenza
100,-46.6184,1.1092,-64.884,-73.6592,1.447,-102.3736,0.1961,fuga
101,24.8288,3.1572,75.8901,2.1519,0.0424,3.9048,1.0813,impatto
102,-36.2783,-27.2613,-65.971,-1.1204,-1.24,-2.4138,0.7269,impatto
103,26.2146,-19.2359,-73.0393,3.3346,-2.8645,-12.5493,0.1744,sopravvivenza
104,-37.8358,-62.1697,-32.929,-4.4413,-7.8143,-4.8706,1.1909,sopravvivenza
105,73.9462,-26.2581,15.7663,13.2149,-4.8673,2.8952,2.7546,sopravvivenza
106,79.1432,7.6628,9.1727,8.8702,2.2666,1.6615,1.552,impatto
107,-59.5537,2.5714,53.3445,-5.4152,0.3255,4.5016,0.4436,sopravvivenza
108,-66.2203,-23.6144,37.9302,-12.7152,-4.3921,7.3086,5.3943,impatto
109,8.5624,-47.5075,-63.784,3.6301,-20.7039,-28.2164,0.0192,fuga
110,-33.57,0.1733,-72.545,-6.9936,-0.4485,-14.8864,6.7578,sopravvivenza
111,21.0362,-33.0637,69.7834,4.0674,-6.3445,12.1315,0.0837,impatto
112,-13.6595,2.2957,-78.8854,-4.6054,-0.0479,-21.5644,3.7368,sopravvivenza
113,-1.7217,-62.1799,-50.4271,-0.3824,-2.5922,-1.7772,8.9822,sopravvivenza
114,-70.4795,-15.7568,-34.4904,-32.4762,-6.6008,-16.0113,1.7831,sopravvivenza
115,75.2059,26.8516,6.7112,15.4969,4.4654,1.0045,0.0439,impatto
116,-75.953,13.1286,-21.844,-26.9568,3.5789,-8.0491,0.1835,sopravvivenza
117,-42.8801,-65.8345,-15.1855,-2.0088,-2.4362,-0.2992,0.6432,impatto
118,67.2626,15.4611,-40.2178,22.4064,4.2662,-13.234,0.1557,sopravvivenza
119,22.4508,28.9016,71.2072,5.5801,6.9007,18.9829,0.1796,sopravvivenza
120,35.0116,-37.637,-61.4202,6.3869,-8.1353,-13.2777,0.0708,sopravvivenza
121,-43.4555,-20.644,-63.9857,-1.3996,-0.9701,-1.9925,0.5369,impatto
122,-0.4611,-77.5577,-20.5446,0.3981,-17.5712,-5.4235,0.8862,sopravvivenza
123,-56.8001,-45.1132,33.6712,-5.7409,-4.7251,3.4579,1.3303,sopravvivenza
124,48.3214,63.2902,7.5864,5.73,7.2749,1.2767,3.2753,sopravvivenza
125,-17.8485,47.6059,-61.6043,-2.217,3.8847,-6.5412,1.7306,sopravvivenza
126,-57.6286,-30.1372,46.6606,-5.5479,-3.6729,5.0824,0.0496,sopravvivenza
127,20.6264,51.9978,57.2191,3.6988,7.9324,8.9484,1.3176,sopravvivenza
128,5.0518,-61.104,-51.1928,0.9472,-16.6401,-12.8511,0.3152,sopravvivenza
129,72.2693,9.2329,33.252,1.0603,-0.2324,1.088,0.3894,impatto
130,-5.3281,-79.5987,5.7246,-1.1776,-8.8778,2.1771,0.4333,sopravvivenza
131,17.931,6.4219,77.6547,4.4788,0.794,19.2533,1.2584,impatto
132,5.7801,68.3737,-41.0608,0.0359,3.4511,-2.4198,0.6541,impatto
133,-62.1079,-48.1772,-15.1499,-1.124,0.0493,-0.9844,2.9252,impatto
134,21.32,33.7761,69.2254,1.2029,2.1127,4.2798,17.9687,impatto
135,-50.2951,-32.7818,-52.9375,-1.5492,-0.8181,-2.2377,0.8446,sopravvivenza
136,27.5941,17.4354,-73.034,14.814,10.137,-40.4477,0.1664,fuga
137,-29.3823,-74.342,-3.1801,-4.5327,-10.3246,-0.2428,3.7067,sopravvivenza
138,-16.3184,-18.3539,-76.1608,-30.1767,-33.4572,-141.7907,0.1777,fuga
139,78.8279,-10.1437,8.0298,5.1226,-0.7259,0.6576,0.3972,impatto
140,-61.9052,-20.7638,46.25,-6.0699,-1.0948,4.5459,2.2514,sopravvivenza
141,-71.4382,33.5687,12.3901,-27.0519,13.0236,4.5256,0.1615,fuga
142,39.7722,69.1773,-5.7765,7.7444,13.0047,-0.9406,0.0941,fuga
143,-70.8881,-14.5839,-34.0076,-34.5942,-7.1492,-16.4231,0.1626,fuga
144,-66.1765,41.7433,16.2522,-5.5764,3.5826,1.0498,0.0931,sopravvivenza
145,4.0215,-63.0962,-48.9099,1.2223,-9.2107,-7.4167,0.4558,sopravvivenza
146,41.8292,63.5493,-25.1478,3.5558,5.628,-2.2453,0.1382,sopravvivenza
147,-9.4996,-21.8305,-76.3835,-1.3698,-2.6944,-9.0544,0.114,fuga
148,-28.8828,-0.4704,-74.5135,-3.97,0.1645,-9.5945,0.1981,sopravvivenza
149,-22.4351,-2.4533,-76.8023,-17.9999,-0.6366,-64.0647,0.8075,fuga
150,46.8647,55.8153,-33.4458,11.6752,12.594,-7.3081,0.6168,sopravvivenza
151,20.5978,70.8049,-30.999,4.5221,12.5152,-5.2267,1.2911,sopravvivenza
152,-2.8191,21.6843,76.9284,-2.5445,11.0183,40.6488,1.1746,fuga
153,-23.6594,25.2856,72.1418,-0.7437,1.9903,4.7752,0.3417,sopravvivenza
154,44.5512,59.9115,29.0794,5.589,7.7514,3.6838,0.3989,sopravvivenza
155,-25.6984,47.6795,-58.8535,-1.2088,3.2232,-4.6262,2.1271,impatto
156,59.0214,30.3755,44.5928,4.5852,2.3336,3.0415,8.3239,sopravvivenza
157,-19.2115,-73.9816,-23.7289,-1.3217,-5.428,-2.3094,1.4188,impatto
158,19.5103,23.5429,-73.7744,1.5611,3.258,-9.7744,0.136,sopravvivenza
159,-11.1548,76.4349,21.0519,-2.6284,15.1894,4.5258,1.2554,sopravvivenza
160,-74.6788,-28.743,-0.0945,-15.542,-6.6013,0.4226,0.2564,sopravvivenza
161,-17.5984,69.2529,36.2778,-2.2944,9.109,5.2344,0.5154,sopravvivenza
162,40.6765,-68.2994,8.1104,4.2912,-7.937,1.0338,2.7737,sopravvivenza
163,-63.2167,48.9623,4.4348,-7.3282,5.719,0.8901,1.3449,sopravvivenza
164,3.1134,-2.2557,79.8575,1.2758,-0.2225,28.085,0.3057,impatto
165,-7.4726,-4.0929,-79.4925,-0.3743,-0.6904,-2.8751,0.2116,impatto
166,53.5628,-59.3685,-3.619,2.5792,-3.1437,-0.0879,0.7404,impatto
167,58.8814,-44.4205,-30.5467,8.2471,-6.9716,-4.7483,0.5111,sopravvivenza
168,34.0984,-57.6718,-43.8141,4.0036,-5.636,-4.6578,0.1348,sopravvivenza
169,-26.8033,-12.6421,-74.3993,-1.4448,-0.1599,-3.0644,0.1699,impatto
170,-50.487,-37.7038,49.2104,-3.4727,-3.2674,4.7289,0.2608,sopravvivenza
171,-23.6113,72.0313,-25.6933,-1.7306,6.8089,-2.0489,2.1366,sopravvivenza
172,14.2053,-43.4866,-65.8487,6.6543,-20.1358,-29.5012,4.8267,fuga
173,-52.7464,-29.2712,52.4908,-5.3796,-3.8151,6.2929,0.204,sopravvivenza
174,32.2419,43.2895,-59.0739,1.2287,2.969,-3.408,0.2187,impatto
175,30.5064,-60.3951,-42.9181,9.8983,-22.1413,-15.6232,0.3585,sopravvivenza
176,53.9658,9.6408,-58.1132,7.6631,1.0638,-7.8005,0.2204,sopravvivenza
177,79.0607,-5.0077,-12.0516,8.4422,-0.4573,-2.9078,2.3531,sopravvivenza
178,33.945,45.8741,-56.0364,14.0824,19.7806,-23.4023,2.0197,fuga
179,54.9793,57.953,1.2135,14.6524,15.8703,-0.2988,1.5894,impatto
180,-76.7016,-12.5682,-19.0764,-3.1156,-0.5458,-1.1538,1.5682,impatto
181,-20.6464,41.2853,65.4296,-5.5457,10.3031,15.9855,1.7026,fuga
182,69.6446,39.2368,-3.7734,23.098,12.4774,-0.6198,0.1921,fuga
183,-63.7459,44.0305,-20.3065,-8.576,5.3061,-3.2532,0.2672,sopravvivenza
184,58.3889,-33.456,-43.1472,7.0807,-4.051,-4.4748,4.6417,sopravvivenza
185,-70.9886,28.8261,-22.5544,-8.3614,3.7325,-3.5543,8.5382,sopravvivenza
186,36.7799,-71.0871,0.7031,8.7778,-17.5184,0.8365,4.4206,sopravvivenza
187,-16.4301,56.3122,54.4965,-17.2397,61.8904,58.7959,0.0829,fuga
188,26.6685,-74.971,7.9058,5.0727,-11.3434,1.8803,0.9303,sopravvivenza
189,62.6738,-47.1393,15.6048,22.4469,-16.8156,5.6077,0.0552,sopravvivenza
190,-50.1162,-61.9038,8.7343,-61.0512,-75.7424,11.3257,0.0465,fuga
191,47.7833,57.0913,29.8222,21.5051,24.2997,13.9922,0.3919,fuga
192,-7.6167,-13.9237,-78.3473,-1.4265,-3.6347,-16.6362,0.7628,sopravvivenza
193,51.9553,-60.75,1.1136,6.7534,-6.5516,0.8036,1.9582,sopravvivenza
194,-9.1017,74.4105,-28.5014,-1.0333,9.0622,-2.3145,1.484,impatto
195,18.8498,28.818,-72.3826,1.1718,2.6715,-5.9844,2.4353,sopravvivenza
196,79.3465,8.4479,-6.4363,5.7945,1.2586,-0.6888,1.2131,sopravvivenza
197,77.0636,21.479,-0.9228,23.4488,6.2812,-0.1492,0.1882,sopravvivenza
198,51.4629,-58.3431,18.5469,3.4763,-4.6884,0.8857,0.0141,fuga
199,-74.4719,-28.3531,7.4993,-18.0167,-7.5967,1.3243,1.0594,sopravvivenza
200,-13.2185,-11.8047,77.9535,-5.4727,-5.3235,30.457,0.8737,fuga
201,-58.0204,44.1824,32.8999,-13.6859,9.2476,8.5747,2.3906,sopravvivenza
202,-34.9617,67.9551,-23.1912,-5.3596,10.5951,-2.5574,24.7591,fuga
203,-27.7829,-70.8028,24.4789,-3.1717,-9.1087,2.4359,0.6997,sopravvivenza
204,-3.2256,15.4838,78.4402,-0.3012,2.9342,15.9773,0.0543,sopravvivenza
205,-3.2727,50.3252,-62.1324,-0.1118,6.8317,-7.9552,0.0334,sopravvivenza
206,22.8171,72.0501,26.3543,1.6804,4.824,1.5599,6.8675,impatto
207,25.5741,-7.5311,75.5172,9.2957,-3.0719,26.5847,0.2618,fuga
208,34.6834,64.9816,30.8095,5.8523,11.6108,5.6842,0.0328,sopravvivenza
209,72.8432,24.1369,23.0084,7.6042,1.827,2.5966,28.2722,sopravvivenza
210,-23.9208,-57.1585,50.5441,-20.3475,-49.0405,43.609,1.9183,fuga
211,11.7952,-76.2911,-21.126,3.4068,-18.3609,-5.0009,0.161,sopravvivenza
212,-69.522,37.2384,-12.0369,-1.3073,1.2289,0.4327,0.0444,impatto
213,29.17,63.5762,-38.7817,0.8987,1.4047,-0.3598,1.3358,impatto
214,-72.7018,-29.0438,16.0842,-14.723,-5.8321,1.669,0.3858,sopravvivenza
215,-70.2364,-33.6381,-17.6085,-2.1551,-0.9129,-0.5687,0.456,impatto
216,-42.1531,62.014,-28.2443,-11.6057,16.5429,-6.5612,0.3693,sopravvivenza
217,27.5476,-70.8633,25.2487,2.3805,-5.6239,2.9618,0.0582,sopravvivenza
218,-58.3174,53.3174,-12.0194,-22.9584,22.2812,-4.6715,0.5066,fuga
219,45.5033,27.4849,-59.7593,6.2951,4.1092,-8.3685,0.2925,sopravvivenza
220,50.0214,-61.2593,12.9279,3.2673,-2.8199,0.6714,0.1653,impatto
221,48.9192,44.072,45.2183,20.3696,19.1584,18.1369,0.1588,fuga
222,-75.8784,10.1316,23.5247,-19.1285,3.3609,6.0828,0.1022,sopravvivenza
223,-49.294,27.5388,56.7636,-12.3706,7.1213,14.2948,0.0711,sopravvivenza
224,22.5577,67.2307,37.0081,4.2168,11.7385,6.2033,4.9543,sopravvivenza
225,-74.4486,22.8783,-18.2048,-15.2123,4.467,-3.5694,137.1824,sopravvivenza
226,-35.8796,68.306,20.4162,-5.2175,9.2168,1.9184,0.7195,sopravvivenza
227,76.2166,-20.7856,12.0724,8.7604,-1.8348,1.8668,0.3203,fuga
228,71.849,-34.3677,8.0109,134.7562,-63.4331,15.5792,0.0975,fuga
229,30.4131,-71.6863,19.6113,3.7594,-9.7445,1.3089,0.0276,sopravvivenza
230,20.9685,61.3462,46.8268,0.1283,3.8392,1.3539,0.199,impatto
231,47.173,-18.3042,62.1419,29.9058,-11.6483,38.8974,0.6246,fuga
232,31.9388,-44.7951,-57.8366,3.1662,-5.6743,-7.1895,0.089,sopravvivenza
233,-56.371,-39.7491,-40.855,-2.857,-1.0827,-2.3197,0.6403,impatto
234,39.7058,-20.2095,-66.3313,3.7798,-1.5969,-7.3497,0.2592,sopravvivenza
235,-5.4307,17.7169,-77.9023,-0.2172,1.3398,-4.69,0.0267,sopravvivenza
236,16.9393,62.7422,46.7721,4.2022,15.0104,11.6388,1.6215,sopravvivenza
237,56.5852,56.4418,-5.7474,3.6997,3.0269,-0.1157,0.2674,sopravvivenza
238,55.2486,8.0196,57.3547,45.5471,7.1916,47.2326,0.1646,fuga
239,-30.7182,-10.99,-72.9279,-13.717,-5.821,-32.9141,2.6466,fuga
240,4.2627,-65.1025,46.1549,-0.0036,-22.56,17.335,0.3216,sopravvivenza
241,31.602,-28.4573,67.6385,6.9101,-5.9791,15.6789,1.863,sopravvivenza
242,-45.745,61.4745,-23.476,-1.4646,1.9875,-0.1979,0.2175,impatto
243,-66.3854,2.2386,44.9437,-11.2333,0.3596,6.7229,0.1823,sopravvivenza
244,-55.3122,3.145,57.8066,-8.1607,1.4344,7.9085,0.472,sopravvivenza
245,25.8427,-29.1708,69.9113,1.5446,0.1497,0.7851,0.242,impatto
246,23.8575,-76.1242,5.4344,25.8736,-82.5735,6.3287,1.8415,fuga
247,14.7219,66.3423,42.2286,2.6034,9.6476,5.8915,0.2542,fuga
248,33.7768,60.7311,39.928,3.602,6.3155,3.7016,0.1558,sopravvivenza
249,56.112,-32.3893,-46.7737,3.1414,-2.0495,-2.6608,4.0625,impatto
250,-2.2158,-37.8523,70.3887,-0.4468,-1.3672,1.3404,0.4099,impatto
251,54.0902,-53.1834,-25.4595,9.851,-9.718,-3.7855,0.2916,sopravvivenza
252,-18.0336,50.4013,59.2805,-4.6484,14.4443,15.4153,0.0144,fuga
253,-19.9722,-62.2593,45.9514,-1.6114,-3.5851,1.75,0.0163,sopravvivenza
254,-38.073,67.4337,19.709,-1.3554,3.281,1.5476,0.4194,impatto
255,15.3011,54.4603,-56.4979,1.3806,1.0338,-0.226,1.3415,impatto
256,52.1975,-52.4441,30.1947,28.5957,-28.8269,16.6286,0.3025,fuga
257,3.2048,9.5336,79.3811,1.4682,4.7098,30.9389,2.5096,fuga
258,-22.521,-9.095,-76.3635,-1.7482,0.5152,-6.5546,0.511,impatto
259,-25.1602,69.4189,-30.6782,-13.9964,38.0935,-16.9095,0.1405,fuga
260,-60.7169,-42.9864,-29.0216,-21.9112,-15.2962,-10.3438,0.1558,fuga
261,-0.8183,-61.9479,-50.5865,-0.2353,-4.5744,-3.1044,0.8145,sopravvivenza
262,42.2268,16.9586,65.7747,5.8392,2.4466,7.5856,1.0293,sopravvivenza
263,-57.791,-35.8578,42.4056,-15.4196,-9.7385,11.5953,0.0149,sopravvivenza
264,-74.2854,25.9637,14.0852,-55.7532,19.2839,10.0997,0.3936,fuga
265,-41.5392,-66.1287,17.7163,-5.0794,-8.849,2.1368,0.5678,sopravvivenza
266,-45.5442,2.8544,-65.7995,-5.269,0.4164,-7.8949,2.9696,sopravvivenza
267,11.587,-68.5031,-39.9592,0.7471,-4.1111,-3.0789,0.8037,sopravvivenza
268,76.2994,-0.4076,23.8517,5.2543,0.0577,1.6873,0.0058,sopravvivenza
269,6.1583,-64.9388,46.2408,0.972,-1.5214,1.0285,1.7148,impatto
270,40.5648,5.6211,-68.6813,2.8489,0.4663,-3.1534,5.7502,impatto
271,-70.4689,-22.2757,-30.4563,-29.6109,-8.8669,-13.1101,18.042,fuga
272,48.8727,5.9136,-62.8286,9.5848,1.2898,-12.1832,0.0553,sopravvivenza
273,69.4668,30.5182,-24.9852,4.7238,1.632,-1.5866,0.1306,fuga
274,-68.1565,41.5113,7.228,-4.7536,2.5658,-0.3646,0.7751,impatto
275,-65.2161,-34.9617,-30.505,-14.2959,-7.0678,-6.1913,0.316,sopravvivenza
276,-9.0988,-61.3586,-50.296,-0.1068,-3.5194,-2.512,0.0668,impatto
277,78.2946,14.1902,-8.8868,1.9576,0.9592,-0.3378,0.2268,impatto
278,24.7018,62.3226,-43.7177,2.79,8.5735,-5.4148,1.0409,sopravvivenza
279,75.0401,-8.6817,26.2862,2.9795,-0.0237,0.6483,0.3394,impatto
280,40.6963,-59.897,34.4344,10.9695,-15.8253,9.6325,3.0799,impatto
281,-50.1885,-47.2023,40.3019,-6.06,-4.0024,5.5611,0.412,sopravvivenza
282,-2.8494,71.0135,-37.0943,-0.8217,24.0816,-11.8535,0.2969,sopravvivenza
283,39.1186,-63.2048,-29.6509,1.7989,-3.1258,-2.346,0.9864,impatto
284,37.7583,30.1318,63.7639,2.1093,2.0456,3.1739,0.8493,impatto
285,-61.3702,-45.6271,-22.8503,-28.0879,-20.0841,-10.8325,0.1539,fuga
286,-71.0516,-34.1419,-13.0438,-7.3787,-3.8328,-1.8394,0.9194,sopravvivenza
287,61.0045,-30.0924,-42.6167,1.75,-0.8581,-1.8288,0.5513,sopravvivenza
288,-57.713,-21.5464,-51.1052,-13.2958,-5.3545,-11.6559,1.2287,impatto
289,62.6852,-49.6451,-3.5624,2.4701,-1.2731,-0.0346,6.3446,impatto
290,-21.6591,-67.8538,-36.4618,-9.7773,-31.3706,-16.9897,0.2498,fuga
291,-20.8599,1.7409,-77.0672,-0.8138,0.0776,-3.8402,0.8431,impatto
292,-28.2344,74.6517,-6.9381,-3.8407,9.2939,-1.1292,18.6527,fuga
293,-2.6173,-76.3897,-23.4392,-2.6009,-57.3362,-17.9798,4.3047,fuga
294,75.7682,1.0795,26.0553,4.4169,-0.2496,0.949,1.4746,impatto
295,49.6915,-12.934,61.4628,8.9194,-2.0411,11.0002,0.1249,sopravvivenza
296,20.2692,-76.9618,9.1118,0.8154,-3.5712,0.8613,0.3267,sopravvivenza
297,-63.3884,-0.0373,48.7407,-11.6909,0.0997,8.9274,0.2337,sopravvivenza
298,60.469,-35.737,-38.2806,21.5093,-12.7431,-13.5299,0.7502,sopravvivenza
299,-14.016,-30.2753,72.6938,-0.5613,-3.0064,4.423,0.2697,sopravvivenza
300,-76.4596,-23.3578,-2.3602,-17.0605,-5.7405,-0.3038,0.1027,sopravvivenza
301,-53.496,-59.0411,6.0072,-2.6119,-3.6805,-0.1572,0.0974,impatto
302,-45.3014,-0.3247,-65.8865,-1.7387,0.479,-1.5972,1.2195,impatto
303,-30.2944,-33.7011,66.0656,-16.6067,-18.5058,36.0476,0.2067,sopravvivenza
304,-11.9666,50.8707,60.6943,-4.0156,15.8432,18.4489,1.042,fuga
